City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
270,Vardo,70.3705,31.1107,31.3,60,98,16.6,NO,overcast clouds
271,Meulaboh,4.1363,96.1285,76.32,94,100,6.06,ID,overcast clouds
272,Guerrero Negro,27.9769,-114.0611,65.08,84,99,9.62,MX,overcast clouds
273,Alofi,-19.0595,-169.9187,76.89,83,90,10.36,NU,light rain
274,Zhangye,38.9342,100.4517,27.88,36,0,1.3,CN,clear sky
275,Saldanha,-33.0117,17.9442,60.17,75,88,20.27,ZA,overcast clouds
276,Katangli,51.7102,143.2326,30.6,42,24,13.58,RU,few clouds
277,Kitimat,54.0524,-128.6534,37.9,29,85,3.44,CA,light rain
278,Hasaki,35.7333,140.8333,72.0,52,49,15.5,JP,scattered clouds
279,Paita,-5.0892,-81.1144,64.2,84,18,12.35,PE,few clouds
280,Grindavik,63.8424,-22.4338,39.67,87,90,35.68,IS,overcast clouds
281,Sarab,38.6066,44.9883,44.35,63,1,1.19,IR,clear sky
282,Muroto,33.2833,134.15,71.64,69,100,26.44,JP,overcast clouds
283,Barcelos,41.5388,-8.6151,54.68,60,87,4.76,PT,overcast clouds
284,Porto Santo,33.072,-16.3415,66.58,59,40,9.22,PT,scattered clouds
285,Chara,56.9064,118.2631,11.5,69,98,1.07,RU,overcast clouds
286,San Vicente,-26.6167,-54.1333,62.56,90,39,3.18,AR,scattered clouds
287,Maarianhamina,60.0973,19.9348,35.46,75,75,11.5,AX,broken clouds
288,Slavonski Brod,45.1603,18.0156,46.38,96,69,1.79,HR,broken clouds
289,Sitka,57.0531,-135.33,42.69,52,20,5.75,US,few clouds
290,Saint John,45.2727,-66.0677,37.78,100,1,0.0,CA,clear sky
291,Witu,-2.3889,40.4382,71.76,85,68,4.7,KE,broken clouds
292,Lompoc,34.6391,-120.4579,62.91,65,1,8.05,US,clear sky
293,Newport,51.5877,-2.9984,45.77,91,44,3.6,GB,scattered clouds
294,Kortkeros,61.8106,51.5806,32.0,89,98,8.55,RU,overcast clouds
295,Tiznit,29.5833,-9.5,53.98,43,0,5.44,MA,clear sky
296,Vilhena,-12.7406,-60.1458,66.88,97,73,1.63,BR,broken clouds
297,Springdale,36.1867,-94.1288,57.02,71,1,3.0,US,clear sky
298,Urozhaynoye,44.7883,44.9228,45.82,90,33,0.47,RU,scattered clouds
299,Hovd,48.0056,91.6419,22.78,42,0,1.03,MN,clear sky
300,Luderitz,-26.6481,15.1594,55.94,82,0,8.25,NA,clear sky
301,Mozelos,41.8677,-8.3978,53.89,62,96,5.14,PT,overcast clouds
302,Maralal,1.0968,36.698,60.12,60,85,5.59,KE,overcast clouds
303,Llangefni,53.2556,-4.3106,53.73,78,75,14.97,GB,broken clouds
304,Kinel,53.2333,50.65,31.24,88,71,5.41,RU,broken clouds
305,Amarillo,35.222,-101.8313,67.51,35,1,5.99,US,clear sky
306,Tabuk,17.4189,121.4443,86.23,66,71,5.44,PH,broken clouds
307,Changli,39.7042,119.1506,29.32,77,81,14.43,CN,broken clouds
308,Havoysund,70.9963,24.6622,31.08,71,100,18.9,NO,light snow
309,Namtsy,62.7161,129.6658,14.11,93,100,6.31,RU,overcast clouds
310,Kargasok,59.0556,80.8572,29.62,73,94,15.55,RU,overcast clouds
311,Tupancireta,-29.0806,-53.8358,57.61,90,1,7.2,BR,clear sky
312,Te Anau,-45.4167,167.7167,67.66,50,82,4.79,NZ,broken clouds
313,Tete,-16.1564,33.5867,80.69,47,3,4.61,MZ,haze
314,College,64.8569,-147.8028,22.66,92,90,0.0,US,mist
315,Chilca,-12.5211,-76.7372,65.61,87,100,4.43,PE,overcast clouds
316,Liwale,-9.7667,37.9333,70.05,81,98,5.39,TZ,overcast clouds
317,Diamantino,-14.4086,-56.4461,70.5,86,84,2.8,BR,broken clouds
318,Mananjary,-21.2167,48.3333,72.91,92,38,5.21,MG,scattered clouds
319,Omboue,-1.5746,9.2618,76.48,91,100,5.19,GA,overcast clouds
320,Cayenne,4.9333,-52.3333,81.09,84,75,5.01,GF,broken clouds
321,Am Timan,11.0297,20.2827,76.1,31,76,5.44,TD,broken clouds
322,Tomsk,58.5,82.5,29.86,70,100,15.9,RU,overcast clouds
323,Maumere,-8.6199,122.2111,85.87,71,86,2.15,ID,overcast clouds
324,Mildura,-34.2,142.15,71.08,32,67,6.91,AU,broken clouds
325,Turinsk,58.0458,63.696,35.38,91,100,13.13,RU,overcast clouds
326,Camopi,3.1655,-52.3158,72.66,99,98,1.77,GF,overcast clouds
327,Kungalv,57.871,11.9805,42.12,88,98,8.12,SE,overcast clouds
328,Pangkalanbuun,-2.6833,111.6167,76.48,94,100,3.15,ID,light rain
329,Yumbe,3.4651,31.2469,65.19,96,92,3.04,UG,overcast clouds
330,Juba,4.8517,31.5825,70.7,89,100,6.4,SS,light rain
331,Hrubieszow,50.805,23.8925,44.83,80,100,12.66,PL,overcast clouds
332,Deputatskiy,69.3,139.9,-17.43,83,3,2.62,RU,clear sky
333,Port Lincoln,-34.7333,135.8667,60.3,58,97,8.39,AU,overcast clouds
334,Raduzhnyy,62.0961,77.475,32.4,98,100,11.68,RU,snow
335,Covington,39.0837,-84.5086,51.24,73,1,0.0,US,clear sky
336,Salta,-24.7859,-65.4117,62.58,73,20,3.0,AR,few clouds
337,Melfort,52.8667,-104.6177,30.33,69,40,9.22,CA,scattered clouds
338,Yulara,-25.2406,130.9889,71.44,78,75,19.57,AU,broken clouds
339,Isla Mujeres,21.2311,-86.731,64.45,62,0,10.51,MX,clear sky
340,Chuy,-33.6971,-53.4616,53.33,84,13,1.57,UY,few clouds
341,Tessalit,20.1986,1.0114,77.25,22,59,6.96,ML,broken clouds
342,Majagual,8.5389,-74.6204,74.05,98,99,1.95,CO,overcast clouds
343,Port-Gentil,-0.7193,8.7815,78.67,85,100,11.48,GA,light rain
344,Espera Feliz,-20.6503,-41.9072,63.39,98,98,2.82,BR,overcast clouds
345,Esperance,-33.8667,121.9,67.84,56,100,12.57,AU,overcast clouds
346,Oropesa,-13.5928,-71.7719,53.46,66,100,2.3,PE,overcast clouds
