City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Aklavik,CA,16.63,overcast clouds,68.2191,-135.0107,Aklavik Inn
239,Tafresh,IR,35.22,clear sky,34.692,50.013,هتل یاس سفید
240,San Patricio,US,70.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
242,Barranca De Upia,CO,72.68,overcast clouds,4.5696,-72.9668,HOTEL GUAICARAMO
243,Mangan,IN,71.17,clear sky,27.5167,88.5333,Hotel Mout View
244,Ritchie,ZA,65.41,overcast clouds,-29.038,24.6028,Riverside Country Club Modderrivier
245,Campbellton,CA,37.85,few clouds,48.0075,-66.6727,Super 8 by Wyndham Campbellton NB
246,Poum,NC,76.05,overcast clouds,-20.2333,164.0167,Gîte kajeon
247,Orsha,BY,42.96,light rain,54.5153,30.4053,Rudakovo Hotel
248,Idenao,CM,71.04,light rain,4.2475,9.0047,Moland Beach Resort
249,Bethel,US,46.49,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
250,Verkhnevilyuysk,RU,25.21,light snow,63.4453,120.3167,Gostinitsa Mila
251,Hofn,IS,39.18,moderate rain,64.2539,-15.2082,Hótel Höfn
252,Ahipara,NZ,64.96,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
253,Hirara,JP,73.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
254,Asau,RO,50.76,light rain,46.4333,26.4,Casa Mika Ciobanus
255,Samarai,PG,85.15,clear sky,-10.6167,150.6667,Nuli Sapi
256,Bubaque,GW,82.33,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
257,Terrasini,IT,63.21,broken clouds,38.146,13.0844,Florio Park Hotel
258,North Myrtle Beach,US,51.06,clear sky,33.816,-78.68,Avista Resort
259,Codrington,AU,60.08,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
260,Portobelo,PA,78.96,overcast clouds,9.55,-79.65,Scuba Portobelo
261,Yarmouth,US,53.71,clear sky,41.7057,-70.2286,Blue Rock Resort
262,Pacific Grove,US,55.65,clear sky,36.6177,-121.9166,Lovers Point Inn
263,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
266,Mount Pleasant,US,53.82,clear sky,32.7941,-79.8626,Best Western Patriots Point
267,Airai,TL,73.9,overcast clouds,-8.9266,125.4092,Juvinal Martin
268,Nome,US,21.27,light snow,64.5011,-165.4064,Dredge 7 Inn
269,Homer,US,31.08,few clouds,59.6425,-151.5483,Beluga Lake Lodge
270,Vardo,NO,31.3,overcast clouds,70.3705,31.1107,Vardø Hotel AS
271,Meulaboh,ID,76.32,overcast clouds,4.1363,96.1285,Kost Pria
272,Guerrero Negro,MX,65.08,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
273,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
274,Zhangye,CN,27.88,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
275,Saldanha,ZA,60.17,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
277,Kitimat,CA,37.9,light rain,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
278,Hasaki,JP,72.0,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
279,Paita,PE,64.2,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
280,Grindavik,IS,39.67,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
281,Sarab,IR,44.35,clear sky,38.6066,44.9883,مسجد امام رضا
282,Muroto,JP,71.64,overcast clouds,33.2833,134.15,Oota Ryokan
283,Barcelos,PT,54.68,overcast clouds,41.5388,-8.6151,Hotel Do Terço
284,Porto Santo,PT,66.58,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
286,San Vicente,AR,62.56,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
287,Maarianhamina,AX,35.46,broken clouds,60.0973,19.9348,Park Alandia Hotel
288,Slavonski Brod,HR,46.38,broken clouds,45.1603,18.0156,Hotel Garten
289,Sitka,US,42.69,few clouds,57.0531,-135.33,Westmark Sitka
290,Saint John,CA,37.78,clear sky,45.2727,-66.0677,Delta Hotels by Marriott Saint John
292,Lompoc,US,62.91,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
293,Newport,GB,45.77,scattered clouds,51.5877,-2.9984,ibis budget Newport
296,Vilhena,BR,66.88,broken clouds,-12.7406,-60.1458,Hotel Mirage
297,Springdale,US,57.02,clear sky,36.1867,-94.1288,Springdale Inn
299,Hovd,MN,22.78,clear sky,48.0056,91.6419,Hotel Khovd
301,Mozelos,PT,53.89,overcast clouds,41.8677,-8.3978,Ribeira Collection Hotel by Piamonte Hotels
302,Maralal,KE,60.12,overcast clouds,1.0968,36.698,Ngari Hill Ecolodge
303,Llangefni,GB,53.73,broken clouds,53.2556,-4.3106,Bull Hotel
304,Kinel,RU,31.24,broken clouds,53.2333,50.65,Hotel Mayak
305,Amarillo,US,67.51,clear sky,35.222,-101.8313,Microtel Inn & Suites by Wyndham Amarillo
306,Tabuk,PH,86.23,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
307,Changli,CN,29.32,broken clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
308,Havoysund,NO,31.08,light snow,70.9963,24.6622,Arctic View Glamping & Restaurant
309,Namtsy,RU,14.11,overcast clouds,62.7161,129.6658,"""Эңсиэли Киин"""
310,Kargasok,RU,29.62,overcast clouds,59.0556,80.8572,Hotel Kargasok
311,Tupancireta,BR,57.61,clear sky,-29.0806,-53.8358,Hotel Cassino
312,Te Anau,NZ,67.66,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
313,Tete,MZ,80.69,haze,-16.1564,33.5867,Zambeze Paraíso Misterioso
314,College,US,22.66,mist,64.8569,-147.8028,Pike's Waterfront Lodge
315,Chilca,PE,65.61,overcast clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
316,Liwale,TZ,70.05,overcast clouds,-9.7667,37.9333,Samoma lodge
317,Diamantino,BR,70.5,broken clouds,-14.4086,-56.4461,Hotel Delta
318,Mananjary,MG,72.91,scattered clouds,-21.2167,48.3333,Vahiny Lodge
319,Omboue,GA,76.48,overcast clouds,-1.5746,9.2618,Hotel Olako
320,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
321,Am Timan,TD,76.1,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
323,Maumere,ID,85.87,overcast clouds,-8.6199,122.2111,Sylvia Hotel
324,Mildura,AU,71.08,broken clouds,-34.2,142.15,Mercure Hotel Mildura
325,Turinsk,RU,35.38,overcast clouds,58.0458,63.696,hotel Arthur
326,Camopi,GF,72.66,overcast clouds,3.1655,-52.3158,La pousada
327,Kungalv,SE,42.12,overcast clouds,57.871,11.9805,Nordiska Folkhogskolan Hostel
328,Pangkalanbuun,ID,76.48,light rain,-2.6833,111.6167,Grand Kecubung Hotel
329,Yumbe,UG,65.19,overcast clouds,3.4651,31.2469,Terrain Hotel
330,Juba,SS,70.7,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
331,Hrubieszow,PL,44.83,overcast clouds,50.805,23.8925,Hotel Jagiełło
333,Port Lincoln,AU,60.3,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
334,Raduzhnyy,RU,32.4,snow,62.0961,77.475,Gostiny Dvor Evgeniya
335,Covington,US,51.24,clear sky,39.0837,-84.5086,Cincinnati Marriott at RiverCenter
336,Salta,AR,62.58,few clouds,-24.7859,-65.4117,Hotel Alejandro I
337,Melfort,CA,30.33,scattered clouds,52.8667,-104.6177,Carra Valla Inn
338,Yulara,AU,71.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
339,Isla Mujeres,MX,64.45,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
340,Chuy,UY,53.33,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
342,Majagual,CO,74.05,overcast clouds,8.5389,-74.6204,Achi bolivar
343,Port-Gentil,GA,78.67,light rain,-0.7193,8.7815,Fengshui Residence
344,Espera Feliz,BR,63.39,overcast clouds,-20.6503,-41.9072,Pousada Encanto Das Montanhas
345,Esperance,AU,67.84,overcast clouds,-33.8667,121.9,Hospitality Esperance
